Entrada,Algoritmo,Tiempo (microsegundos)
1000,selection-sort,5198
1000,quick-sort,220
1000,merge-sort,2013
1000,selection-sort,4259
1000,quick-sort,217
1000,merge-sort,1239
1000,selection-sort,5117
1000,quick-sort,216
1000,merge-sort,798
1000,selection-sort,4093
1000,quick-sort,258
1000,merge-sort,808
1000,selection-sort,4263
1000,quick-sort,215
1000,merge-sort,765
1000,selection-sort,3988
1000,quick-sort,213
1000,merge-sort,755
1000,selection-sort,4007
1000,quick-sort,260
1000,merge-sort,1315
1000,selection-sort,4082
1000,quick-sort,214
1000,merge-sort,778
1000,selection-sort,3804
1000,quick-sort,214
1000,merge-sort,758
1000,selection-sort,3853
1000,quick-sort,212
1000,merge-sort,1194
1000,selection-sort,4223
1000,quick-sort,288
1000,merge-sort,999
1000,selection-sort,4044
1000,quick-sort,220
1000,merge-sort,845
1000,selection-sort,4588
1000,quick-sort,413
1000,merge-sort,1194
1000,selection-sort,4017
1000,quick-sort,277
1000,merge-sort,772
1000,selection-sort,5105
1000,quick-sort,216
1000,merge-sort,921
1000,selection-sort,6070
1000,quick-sort,259
1000,merge-sort,1141
1000,selection-sort,9055
1000,quick-sort,587
1000,merge-sort,952
1000,selection-sort,4824
1000,quick-sort,215
1000,merge-sort,763
1000,selection-sort,3876
1000,quick-sort,213
1000,merge-sort,754
1000,selection-sort,3803
1000,quick-sort,212
1000,merge-sort,788
1000,selection-sort,3899
1000,quick-sort,214
1000,merge-sort,761
1000,selection-sort,3820
1000,quick-sort,213
1000,merge-sort,811
1000,selection-sort,3832
1000,quick-sort,214
1000,merge-sort,759
1000,selection-sort,3910
1000,quick-sort,214
1000,merge-sort,762
1000,selection-sort,3822
1000,quick-sort,214
1000,merge-sort,755
1000,selection-sort,3735
1000,quick-sort,213
1000,merge-sort,753
1000,selection-sort,3856
1000,quick-sort,215
1000,merge-sort,806
1000,selection-sort,3765
1000,quick-sort,233
1000,merge-sort,756
1000,selection-sort,3790
1000,quick-sort,213
1000,merge-sort,754
1000,selection-sort,3778
1000,quick-sort,212
1000,merge-sort,755
1000,selection-sort,3824
1000,quick-sort,213
1000,merge-sort,756
1000,selection-sort,3820
1000,quick-sort,214
1000,merge-sort,757
1000,selection-sort,3894
1000,quick-sort,290
1000,merge-sort,753
1000,selection-sort,3771
1000,quick-sort,212
1000,merge-sort,755
1000,selection-sort,3816
1000,quick-sort,213
1000,merge-sort,754
1000,selection-sort,3755
1000,quick-sort,213
1000,merge-sort,820
1000,selection-sort,3778
1000,quick-sort,214
1000,merge-sort,775
1000,selection-sort,3734
1000,quick-sort,252
1000,merge-sort,754
1000,selection-sort,3818
1000,quick-sort,212
1000,merge-sort,753
1000,selection-sort,3782
1000,quick-sort,213
1000,merge-sort,755
1000,selection-sort,3770
1000,quick-sort,213
1000,merge-sort,755
1000,selection-sort,3784
1000,quick-sort,214
1000,merge-sort,818
1000,selection-sort,3849
1000,quick-sort,215
1000,merge-sort,775
1000,selection-sort,3754
1000,quick-sort,212
1000,merge-sort,754
1000,selection-sort,3795
1000,quick-sort,213
1000,merge-sort,754
1000,selection-sort,4068
1000,quick-sort,756
1000,merge-sort,1171
1000,selection-sort,3897
1000,quick-sort,216
1000,merge-sort,762
1000,selection-sort,3812
1000,quick-sort,213
1000,merge-sort,761
1000,selection-sort,3935
1000,quick-sort,215
1000,merge-sort,759
1000,selection-sort,4374
1000,quick-sort,279
1000,merge-sort,1212
1000,selection-sort,4678
1000,quick-sort,214
1000,merge-sort,760
1000,selection-sort,4234
1000,quick-sort,215
1000,merge-sort,904
1000,selection-sort,3768
1000,quick-sort,213
1000,merge-sort,754
1000,selection-sort,3816
1000,quick-sort,214
1000,merge-sort,787
1000,selection-sort,3818
1000,quick-sort,214
1000,merge-sort,758
1000,selection-sort,3734
1000,quick-sort,213
1000,merge-sort,828
1000,selection-sort,3795
1000,quick-sort,242
1000,merge-sort,759
1000,selection-sort,3785
1000,quick-sort,212
1000,merge-sort,804
1000,selection-sort,3780
1000,quick-sort,213
1000,merge-sort,756
1000,selection-sort,3800
1000,quick-sort,213
1000,merge-sort,781
1000,selection-sort,3762
1000,quick-sort,213
1000,merge-sort,963
1000,selection-sort,4066
1000,quick-sort,216
1000,merge-sort,898
1000,selection-sort,3853
1000,quick-sort,213
1000,merge-sort,754
1000,selection-sort,3748
1000,quick-sort,212
1000,merge-sort,807
1000,selection-sort,3754
1000,quick-sort,212
1000,merge-sort,773
1000,selection-sort,3735
1000,quick-sort,253
1000,merge-sort,783
1000,selection-sort,3754
1000,quick-sort,213
1000,merge-sort,788
1000,selection-sort,3833
1000,quick-sort,213
1000,merge-sort,785
1000,selection-sort,3781
1000,quick-sort,214
1000,merge-sort,756
1000,selection-sort,4052
1000,quick-sort,213
1000,merge-sort,868
1000,selection-sort,3806
1000,quick-sort,214
1000,merge-sort,756
1000,selection-sort,3908
1000,quick-sort,216
1000,merge-sort,861
1000,selection-sort,3779
1000,quick-sort,214
1000,merge-sort,757
1000,selection-sort,3788
1000,quick-sort,212
1000,merge-sort,842
1000,selection-sort,3811
1000,quick-sort,212
1000,merge-sort,754
1000,selection-sort,3757
1000,quick-sort,213
1000,merge-sort,775
1000,selection-sort,3752
1000,quick-sort,213
1000,merge-sort,784
1000,selection-sort,3757
1000,quick-sort,212
1000,merge-sort,858
1000,selection-sort,3752
1000,quick-sort,213
1000,merge-sort,755
1000,selection-sort,3761
1000,quick-sort,212
1000,merge-sort,755
1000,selection-sort,4282
1000,quick-sort,217
1000,merge-sort,767
1000,selection-sort,4907
1000,quick-sort,311
1000,merge-sort,889
1000,selection-sort,4160
1000,quick-sort,229
1000,merge-sort,933
1000,selection-sort,4331
1000,quick-sort,230
1000,merge-sort,916
1000,selection-sort,5001
1000,quick-sort,239
1000,merge-sort,1129
1000,selection-sort,4157
1000,quick-sort,237
1000,merge-sort,1050
1000,selection-sort,5210
1000,quick-sort,215
1000,merge-sort,861
1000,selection-sort,4516
1000,quick-sort,360
1000,merge-sort,1005
1000,selection-sort,4809
1000,quick-sort,268
1000,merge-sort,966
1000,selection-sort,5766
1000,quick-sort,453
1000,merge-sort,1055
1000,selection-sort,4691
1000,quick-sort,261
1000,merge-sort,1817
1000,selection-sort,5477
1000,quick-sort,290
1000,merge-sort,1838
1000,selection-sort,5708
1000,quick-sort,267
1000,merge-sort,1060
1000,selection-sort,5764
1000,quick-sort,282
1000,merge-sort,1523
1000,selection-sort,4821
1000,quick-sort,269
1000,merge-sort,1042
1000,selection-sort,5676
1000,quick-sort,470
1000,merge-sort,999
1000,selection-sort,4544
1000,quick-sort,216
1000,merge-sort,989
1000,selection-sort,4172
1000,quick-sort,215
1000,merge-sort,772
1000,selection-sort,5692
1000,quick-sort,217
1000,merge-sort,766
1000,selection-sort,4339
1000,quick-sort,215
1000,merge-sort,764
1000,selection-sort,3889
1000,quick-sort,214
1000,merge-sort,756
1000,selection-sort,3974
1000,quick-sort,272
1000,merge-sort,762
1000,selection-sort,3833
1000,quick-sort,213
1000,merge-sort,789
1000,selection-sort,3867
1000,quick-sort,213
1000,merge-sort,757
1000,selection-sort,4291
1000,quick-sort,236
1000,merge-sort,786
1000,selection-sort,4391
1000,quick-sort,243
1000,merge-sort,895
1000,selection-sort,3803
1000,quick-sort,217
1000,merge-sort,762
1000,selection-sort,4133
1000,quick-sort,214
1000,merge-sort,1006
1000,selection-sort,3740
1000,quick-sort,213
1000,merge-sort,790
1000,selection-sort,3944
1000,quick-sort,215
1000,merge-sort,876
1000,selection-sort,5258
1000,quick-sort,289
1000,merge-sort,1154
1000,selection-sort,3872
1000,quick-sort,215
1000,merge-sort,758
1000,selection-sort,4248
1000,quick-sort,311
1000,merge-sort,945
1000,selection-sort,4250
1000,quick-sort,319
1000,merge-sort,764
1000,selection-sort,3898
1000,quick-sort,635
1000,merge-sort,765
1000,selection-sort,4169
1000,quick-sort,229
1000,merge-sort,864
1000,selection-sort,4302
1000,quick-sort,216
1000,merge-sort,914
1000,selection-sort,4057
1000,quick-sort,215
1000,merge-sort,762
1000,selection-sort,3944
1000,quick-sort,214
1000,merge-sort,995
1000,selection-sort,4954
1000,quick-sort,278
1000,merge-sort,1261
1000,selection-sort,5737
1000,quick-sort,503
1000,merge-sort,1165
1000,selection-sort,6498
1000,quick-sort,290
1000,merge-sort,1057
1000,selection-sort,5044
1000,quick-sort,270
1000,merge-sort,1045
1000,selection-sort,5828
1000,quick-sort,429
1000,merge-sort,1312
1000,selection-sort,5665
1000,quick-sort,259
1000,merge-sort,1065
1000,selection-sort,4290
1000,quick-sort,215
1000,merge-sort,963
1000,selection-sort,3986
1000,quick-sort,232
1000,merge-sort,914
1000,selection-sort,4463
1000,quick-sort,231
1000,merge-sort,878
1000,selection-sort,4159
1000,quick-sort,234
1000,merge-sort,878
1000,selection-sort,4512
1000,quick-sort,231
1000,merge-sort,975
1000,selection-sort,4695
1000,quick-sort,374
1000,merge-sort,766
1000,selection-sort,3961
1000,quick-sort,213
1000,merge-sort,757
1000,selection-sort,4042
1000,quick-sort,215
1000,merge-sort,761
1000,selection-sort,3942
1000,quick-sort,215
1000,merge-sort,760
1000,selection-sort,3913
1000,quick-sort,215
1000,merge-sort,759
1000,selection-sort,3847
1000,quick-sort,214
1000,merge-sort,757
1000,selection-sort,3926
1000,quick-sort,214
1000,merge-sort,810
1000,selection-sort,3809
1000,quick-sort,213
1000,merge-sort,754
1000,selection-sort,3921
1000,quick-sort,214
1000,merge-sort,759
1000,selection-sort,4633
1000,quick-sort,292
1000,merge-sort,988
1000,selection-sort,6723
1000,quick-sort,230
1000,merge-sort,770
1000,selection-sort,4520
1000,quick-sort,305
1000,merge-sort,1138
1000,selection-sort,5066
1000,quick-sort,270
1000,merge-sort,1027
1000,selection-sort,5048
1000,quick-sort,269
1000,merge-sort,1067
1000,selection-sort,5077
1000,quick-sort,268
1000,merge-sort,1081
1000,selection-sort,4819
1000,quick-sort,236
1000,merge-sort,808
1000,selection-sort,3907
1000,quick-sort,295
1000,merge-sort,1252
1000,selection-sort,4452
1000,quick-sort,315
1000,merge-sort,765
1000,selection-sort,3998
1000,quick-sort,215
1000,merge-sort,760
1000,selection-sort,3775
1000,quick-sort,238
1000,merge-sort,790
1000,selection-sort,3825
1000,quick-sort,213
1000,merge-sort,845
1000,selection-sort,3755
1000,quick-sort,242
1000,merge-sort,812
1000,selection-sort,3775
1000,quick-sort,212
1000,merge-sort,754
1000,selection-sort,5636
1000,quick-sort,349
1000,merge-sort,989
1000,selection-sort,4349
1000,quick-sort,231
1000,merge-sort,887
1000,selection-sort,4212
1000,quick-sort,229
1000,merge-sort,923
1000,selection-sort,4575
1000,quick-sort,231
1000,merge-sort,886
1000,selection-sort,4352
1000,quick-sort,276
1000,merge-sort,1067
1000,selection-sort,4205
1000,quick-sort,230
1000,merge-sort,880
1000,selection-sort,4281
1000,quick-sort,230
1000,merge-sort,880
1000,selection-sort,4158
1000,quick-sort,230
1000,merge-sort,875
1000,selection-sort,4210
1000,quick-sort,230
1000,merge-sort,875
1000,selection-sort,4072
1000,quick-sort,213
1000,merge-sort,761
1000,selection-sort,3822
1000,quick-sort,213
1000,merge-sort,755
1000,selection-sort,3783
1000,quick-sort,213
1000,merge-sort,794
1000,selection-sort,3815
1000,quick-sort,236
1000,merge-sort,822
1000,selection-sort,3812
1000,quick-sort,214
1000,merge-sort,764
1000,selection-sort,3941
1000,quick-sort,213
1000,merge-sort,758
