Entrada,Algoritmo,Tiempo (microsegundos)
1000,selection-sort,4627
1000,quick-sort,306
1000,merge-sort,790
1000,selection-sort,3994
1000,quick-sort,212
1000,merge-sort,655
1000,selection-sort,4109
1000,quick-sort,212
1000,merge-sort,656
1000,selection-sort,3957
1000,quick-sort,211
1000,merge-sort,773
1000,selection-sort,3834
1000,quick-sort,236
1000,merge-sort,651
1000,selection-sort,3928
1000,quick-sort,233
1000,merge-sort,779
1000,selection-sort,3825
1000,quick-sort,212
1000,merge-sort,655
1000,selection-sort,3957
1000,quick-sort,211
1000,merge-sort,674
1000,selection-sort,4116
1000,quick-sort,212
1000,merge-sort,660
1000,selection-sort,4712
1000,quick-sort,314
1000,merge-sort,658
1000,selection-sort,3837
1000,quick-sort,213
1000,merge-sort,721
1000,selection-sort,4019
1000,quick-sort,212
1000,merge-sort,792
1000,selection-sort,6296
1000,quick-sort,219
1000,merge-sort,663
1000,selection-sort,3744
1000,quick-sort,211
1000,merge-sort,696
1000,selection-sort,4610
1000,quick-sort,397
1000,merge-sort,994
1000,selection-sort,8923
1000,quick-sort,301
1000,merge-sort,1058
1000,selection-sort,5369
1000,quick-sort,308
1000,merge-sort,1580
1000,selection-sort,4632
1000,quick-sort,274
1000,merge-sort,1122
1000,selection-sort,4929
1000,quick-sort,217
1000,merge-sort,664
1000,selection-sort,4428
1000,quick-sort,244
1000,merge-sort,659
1000,selection-sort,4326
1000,quick-sort,217
1000,merge-sort,661
1000,selection-sort,3829
1000,quick-sort,212
1000,merge-sort,651
1000,selection-sort,3879
1000,quick-sort,242
1000,merge-sort,666
1000,selection-sort,4224
1000,quick-sort,212
1000,merge-sort,662
1000,selection-sort,4040
1000,quick-sort,211
1000,merge-sort,722
1000,selection-sort,3758
1000,quick-sort,211
1000,merge-sort,923
1000,selection-sort,5042
1000,quick-sort,293
1000,merge-sort,903
1000,selection-sort,3799
1000,quick-sort,212
1000,merge-sort,807
1000,selection-sort,3952
1000,quick-sort,243
1000,merge-sort,772
1000,selection-sort,4869
1000,quick-sort,545
1000,merge-sort,1018
1000,selection-sort,4516
1000,quick-sort,234
1000,merge-sort,1313
1000,selection-sort,8790
1000,quick-sort,313
1000,merge-sort,764
1000,selection-sort,4497
1000,quick-sort,217
1000,merge-sort,663
1000,selection-sort,3854
1000,quick-sort,213
