Entrada,Algoritmo,Tiempo (microsegundos)
1000,selection-sort,5270
1000,quick-sort,333
1000,merge-sort,1328
1000,selection-sort,7699
1000,quick-sort,214
1000,merge-sort,722
1000,selection-sort,8287
1000,quick-sort,241
1000,merge-sort,725
1000,selection-sort,4970
1000,quick-sort,212
1000,merge-sort,721
1000,selection-sort,4210
1000,quick-sort,212
1000,merge-sort,724
1000,selection-sort,3751
1000,quick-sort,211
1000,merge-sort,716
1000,selection-sort,3939
1000,quick-sort,211
1000,merge-sort,712
1000,selection-sort,4056
1000,quick-sort,211
1000,merge-sort,719
1000,selection-sort,3857
1000,quick-sort,210
1000,merge-sort,822
1000,selection-sort,3739
1000,quick-sort,211
1000,merge-sort,743
1000,selection-sort,3781
1000,quick-sort,211
1000,merge-sort,713
1000,selection-sort,3947
1000,quick-sort,235
1000,merge-sort,797
1000,selection-sort,3834
1000,quick-sort,211
1000,merge-sort,713
1000,selection-sort,4354
1000,quick-sort,244
1000,merge-sort,926
1000,selection-sort,5152
1000,quick-sort,256
1000,merge-sort,829
1000,selection-sort,4439
1000,quick-sort,254
1000,merge-sort,785
1000,selection-sort,3896
1000,quick-sort,213
1000,merge-sort,798
1000,selection-sort,5108
1000,quick-sort,213
1000,merge-sort,1150
1000,selection-sort,4472
1000,quick-sort,305
1000,merge-sort,900
1000,selection-sort,3930
1000,quick-sort,213
1000,merge-sort,859
1000,selection-sort,4199
1000,quick-sort,212
1000,merge-sort,731
1000,selection-sort,3884
1000,quick-sort,210
1000,merge-sort,716
1000,selection-sort,4430
1000,quick-sort,213
1000,merge-sort,717
1000,selection-sort,3849
1000,quick-sort,211
1000,merge-sort,708
1000,selection-sort,3762
1000,quick-sort,210
1000,merge-sort,710
1000,selection-sort,3832
1000,quick-sort,239
1000,merge-sort,745
1000,selection-sort,3797
1000,quick-sort,211
1000,merge-sort,738
1000,selection-sort,4054
1000,quick-sort,212
1000,merge-sort,715
1000,selection-sort,4232
1000,quick-sort,311
1000,merge-sort,737
1000,selection-sort,3883
1000,quick-sort,212
1000,merge-sort,711
1000,selection-sort,3916
1000,quick-sort,212
1000,merge-sort,729
1000,selection-sort,3982
1000,quick-sort,212
1000,merge-sort,796
1000,selection-sort,4316
1000,quick-sort,258
1000,merge-sort,1271
1000,selection-sort,4421
1000,quick-sort,212
1000,merge-sort,722
1000,selection-sort,3834
1000,quick-sort,211
1000,merge-sort,711
1000,selection-sort,4130
1000,quick-sort,221
1000,merge-sort,716
1000,selection-sort,4681
1000,quick-sort,213
1000,merge-sort,718
1000,selection-sort,4096
1000,quick-sort,257
1000,merge-sort,812
1000,selection-sort,3971
1000,quick-sort,212
1000,merge-sort,961
1000,selection-sort,3815
1000,quick-sort,211
1000,merge-sort,757
1000,selection-sort,4038
1000,quick-sort,213
1000,merge-sort,914
1000,selection-sort,4018
1000,quick-sort,218
1000,merge-sort,792
1000,selection-sort,3835
1000,quick-sort,331
1000,merge-sort,737
1000,selection-sort,3775
1000,quick-sort,210
1000,merge-sort,739
1000,selection-sort,3796
1000,quick-sort,210
1000,merge-sort,917
1000,selection-sort,3801
1000,quick-sort,210
1000,merge-sort,710
1000,selection-sort,3839
1000,quick-sort,211
1000,merge-sort,766
1000,selection-sort,3784
1000,quick-sort,210
1000,merge-sort,709
1000,selection-sort,3868
1000,quick-sort,210
1000,merge-sort,729
1000,selection-sort,3842
1000,quick-sort,210
1000,merge-sort,709
1000,selection-sort,3922
1000,quick-sort,210
1000,merge-sort,838
1000,selection-sort,4077
1000,quick-sort,210
1000,merge-sort,714
1000,selection-sort,3750
