Entrada,Algoritmo,Tiempo (microsegundos)
1000,selection-sort,5241
1000,quick-sort,304
1000,merge-sort,1154
1000,selection-sort,5940
1000,quick-sort,207
1000,merge-sort,675
1000,selection-sort,3806
1000,quick-sort,251
1000,merge-sort,998
1000,selection-sort,5315
1000,quick-sort,288
1000,merge-sort,970
1000,selection-sort,8499
1000,quick-sort,207
1000,merge-sort,664
1000,selection-sort,3748
1000,quick-sort,203
1000,merge-sort,657
1000,selection-sort,3887
1000,quick-sort,229
1000,merge-sort,735
1000,selection-sort,3790
1000,quick-sort,203
1000,merge-sort,694
1000,selection-sort,3711
1000,quick-sort,203
1000,merge-sort,653
1000,selection-sort,3975
1000,quick-sort,204
1000,merge-sort,759
1000,selection-sort,3807
1000,quick-sort,203
1000,merge-sort,657
1000,selection-sort,3911
1000,quick-sort,202
1000,merge-sort,664
1000,selection-sort,4149
1000,quick-sort,293
1000,merge-sort,851
1000,selection-sort,3878
1000,quick-sort,272
1000,merge-sort,815
1000,selection-sort,4313
1000,quick-sort,243
1000,merge-sort,713
1000,selection-sort,4589
1000,quick-sort,302
1000,merge-sort,1047
1000,selection-sort,4380
1000,quick-sort,285
1000,merge-sort,1052
1000,selection-sort,4099
1000,quick-sort,203
1000,merge-sort,657
1000,selection-sort,3671
1000,quick-sort,202
1000,merge-sort,824
1000,selection-sort,4635
1000,quick-sort,207
1000,merge-sort,1053
1000,selection-sort,5042
1000,quick-sort,206
1000,merge-sort,661
1000,selection-sort,4725
1000,quick-sort,283
1000,merge-sort,1543
1000,selection-sort,5841
1000,quick-sort,232
1000,merge-sort,788
1000,selection-sort,4075
1000,quick-sort,228
1000,merge-sort,777
1000,selection-sort,4487
1000,quick-sort,229
1000,merge-sort,777
1000,selection-sort,4473
1000,quick-sort,287
1000,merge-sort,1178
1000,selection-sort,3759
1000,quick-sort,205
1000,merge-sort,752
1000,selection-sort,4683
1000,quick-sort,205
1000,merge-sort,871
1000,selection-sort,3989
1000,quick-sort,259
1000,merge-sort,710
1000,selection-sort,3832
1000,quick-sort,241
1000,merge-sort,734
1000,selection-sort,5538
1000,quick-sort,204
1000,merge-sort,662
1000,selection-sort,3871
1000,quick-sort,203
1000,merge-sort,656
1000,selection-sort,3644
1000,quick-sort,260
1000,merge-sort,770
1000,selection-sort,3724
1000,quick-sort,203
1000,merge-sort,679
1000,selection-sort,3615
1000,quick-sort,202
1000,merge-sort,719
1000,selection-sort,3710
1000,quick-sort,202
1000,merge-sort,652
1000,selection-sort,3634
1000,quick-sort,202
1000,merge-sort,650
1000,selection-sort,3899
1000,quick-sort,207
1000,merge-sort,662
1000,selection-sort,3617
1000,quick-sort,203
1000,merge-sort,779
1000,selection-sort,3701
1000,quick-sort,236
1000,merge-sort,652
1000,selection-sort,3939
1000,quick-sort,202
1000,merge-sort,656
1000,selection-sort,3616
1000,quick-sort,286
1000,merge-sort,651
1000,selection-sort,3614
1000,quick-sort,202
1000,merge-sort,652
1000,selection-sort,4064
1000,quick-sort,210
1000,merge-sort,1122
1000,selection-sort,3832
1000,quick-sort,219
1000,merge-sort,715
1000,selection-sort,3839
1000,quick-sort,340
1000,merge-sort,703
1000,selection-sort,4293
1000,quick-sort,205
1000,merge-sort,758
1000,selection-sort,7810
1000,quick-sort,207
1000,merge-sort,719
1000,selection-sort,4012
1000,quick-sort,206
1000,merge-sort,760
1000,selection-sort,3710
1000,quick-sort,203
1000,merge-sort,654
1000,selection-sort,3841
1000,quick-sort,204
1000,merge-sort,714
1000,selection-sort,4088
1000,quick-sort,204
1000,merge-sort,827
1000,selection-sort,3805
1000,quick-sort,203
1000,merge-sort,970
1000,selection-sort,3759
1000,quick-sort,203
1000,merge-sort,692
1000,selection-sort,3969
1000,quick-sort,267
1000,merge-sort,655
1000,selection-sort,3712
1000,quick-sort,202
1000,merge-sort,654
1000,selection-sort,3760
1000,quick-sort,204
1000,merge-sort,779
1000,selection-sort,3797
1000,quick-sort,303
1000,merge-sort,684
1000,selection-sort,3771
1000,quick-sort,202
1000,merge-sort,712
1000,selection-sort,3658
1000,quick-sort,202
1000,merge-sort,654
1000,selection-sort,3846
1000,quick-sort,214
1000,merge-sort,658
1000,selection-sort,3729
1000,quick-sort,203
1000,merge-sort,683
1000,selection-sort,3704
1000,quick-sort,203
1000,merge-sort,705
1000,selection-sort,3880
1000,quick-sort,206
1000,merge-sort,664
1000,selection-sort,3820
1000,quick-sort,203
1000,merge-sort,656
1000,selection-sort,3909
1000,quick-sort,216
1000,merge-sort,654
1000,selection-sort,4239
1000,quick-sort,267
1000,merge-sort,799
1000,selection-sort,4489
1000,quick-sort,229
1000,merge-sort,779
1000,selection-sort,4368
1000,quick-sort,228
1000,merge-sort,812
1000,selection-sort,4138
1000,quick-sort,278
1000,merge-sort,911
1000,selection-sort,4125
1000,quick-sort,227
1000,merge-sort,801
1000,selection-sort,4021
1000,quick-sort,227
1000,merge-sort,829
1000,selection-sort,4837
1000,quick-sort,226
1000,merge-sort,659
1000,selection-sort,3629
1000,quick-sort,203
1000,merge-sort,653
1000,selection-sort,3760
1000,quick-sort,202
1000,merge-sort,749
1000,selection-sort,4055
1000,quick-sort,290
1000,merge-sort,1106
1000,selection-sort,3994
1000,quick-sort,206
