Entrada,Algoritmo,Tiempo (microsegundos)
100,selection-sort,49
100,quick-sort,19
100,merge-sort,83
100,selection-sort,48
100,quick-sort,17
100,merge-sort,76
100,selection-sort,48
100,quick-sort,17
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,74
100,selection-sort,48
100,quick-sort,16
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,185
100,selection-sort,48
100,quick-sort,16
100,merge-sort,76
100,selection-sort,48
100,quick-sort,16
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,75
100,selection-sort,48
100,quick-sort,16
100,merge-sort,114
100,selection-sort,48
100,quick-sort,16
100,merge-sort,188
100,selection-sort,44
100,quick-sort,16
100,merge-sort,66
100,selection-sort,44
100,quick-sort,15
100,merge-sort,64
100,selection-sort,44
100,quick-sort,15
100,merge-sort,64
100,selection-sort,46
100,quick-sort,22
100,merge-sort,98
100,selection-sort,65
100,quick-sort,20
100,merge-sort,78
100,selection-sort,44
100,quick-sort,15
100,merge-sort,65
100,selection-sort,47
100,quick-sort,21
100,merge-sort,73
100,selection-sort,160
100,quick-sort,15
100,merge-sort,66
100,selection-sort,44
100,quick-sort,15
