Entrada,Algoritmo,Tiempo (microsegundos)
100,selection-sort,63
100,quick-sort,22
100,merge-sort,99
100,selection-sort,65
100,quick-sort,58
100,merge-sort,99
100,selection-sort,57
100,quick-sort,21
100,merge-sort,82
100,selection-sort,68
100,quick-sort,20
100,merge-sort,93
100,selection-sort,53
100,quick-sort,17
100,merge-sort,87
100,selection-sort,53
100,quick-sort,18
100,merge-sort,90
100,selection-sort,51
100,quick-sort,19
100,merge-sort,81
100,selection-sort,52
100,quick-sort,17
100,merge-sort,78
100,selection-sort,48
100,quick-sort,16
100,merge-sort,77
100,selection-sort,48
100,quick-sort,16
100,merge-sort,80
100,selection-sort,48
100,quick-sort,16
100,merge-sort,86
100,selection-sort,56
100,quick-sort,17
100,merge-sort,91
100,selection-sort,53
100,quick-sort,19
100,merge-sort,95
100,selection-sort,3803
100,quick-sort,26
100,merge-sort,117
100,selection-sort,50
100,quick-sort,18
100,merge-sort,80
100,selection-sort,55
100,quick-sort,18
100,merge-sort,83
100,selection-sort,52
100,quick-sort,18
100,merge-sort,79
100,selection-sort,123
100,quick-sort,21
100,merge-sort,81
100,selection-sort,55
100,quick-sort,20
100,merge-sort,97
100,selection-sort,55
100,quick-sort,17
100,merge-sort,84
100,selection-sort,57
100,quick-sort,18
100,merge-sort,96
100,selection-sort,67
100,quick-sort,19
100,merge-sort,88
100,selection-sort,58
100,quick-sort,21
100,merge-sort,97
100,selection-sort,60
100,quick-sort,19
100,merge-sort,93
100,selection-sort,71
100,quick-sort,19
100,merge-sort,100
100,selection-sort,65
100,quick-sort,23
100,merge-sort,96
100,selection-sort,58
100,quick-sort,19
100,merge-sort,73
100,selection-sort,53
100,quick-sort,127
100,merge-sort,91
100,selection-sort,54
100,quick-sort,22
100,merge-sort,107
100,selection-sort,55
100,quick-sort,20
100,merge-sort,85
100,selection-sort,59
100,quick-sort,22
100,merge-sort,117
100,selection-sort,49
100,quick-sort,17
100,merge-sort,167
100,selection-sort,48
100,quick-sort,19
100,merge-sort,93
100,selection-sort,63
100,quick-sort,31
100,merge-sort,91
100,selection-sort,75
100,quick-sort,16
100,merge-sort,103
100,selection-sort,56
100,quick-sort,19
100,merge-sort,90
100,selection-sort,64
100,quick-sort,18
100,merge-sort,85
100,selection-sort,65
100,quick-sort,18
100,merge-sort,79
100,selection-sort,54
100,quick-sort,18
100,merge-sort,80
100,selection-sort,53
100,quick-sort,18
100,merge-sort,77
100,selection-sort,53
100,quick-sort,18
100,merge-sort,79
100,selection-sort,53
100,quick-sort,18
100,merge-sort,79
100,selection-sort,53
100,quick-sort,18
100,merge-sort,79
100,selection-sort,53
100,quick-sort,18
100,merge-sort,78
100,selection-sort,53
100,quick-sort,17
100,merge-sort,90
100,selection-sort,61
100,quick-sort,19
100,merge-sort,7016
100,selection-sort,60
100,quick-sort,18
100,merge-sort,83
100,selection-sort,61
100,quick-sort,22
100,merge-sort,83
100,selection-sort,51
100,quick-sort,18
100,merge-sort,82
100,selection-sort,112
100,quick-sort,20
100,merge-sort,87
100,selection-sort,52
100,quick-sort,19
100,merge-sort,85
100,selection-sort,51
100,quick-sort,17
100,merge-sort,197
100,selection-sort,64
100,quick-sort,19
100,merge-sort,81
100,selection-sort,57
100,quick-sort,20
100,merge-sort,89
100,selection-sort,56
100,quick-sort,18
100,merge-sort,152
100,selection-sort,73
100,quick-sort,20
100,merge-sort,161
100,selection-sort,60
100,quick-sort,24
100,merge-sort,97
100,selection-sort,57
100,quick-sort,20
100,merge-sort,95
100,selection-sort,122
100,quick-sort,20
100,merge-sort,137
100,selection-sort,111
100,quick-sort,40
100,merge-sort,149
100,selection-sort,115
100,quick-sort,24
100,merge-sort,81
100,selection-sort,94
100,quick-sort,45
100,merge-sort,86
100,selection-sort,79
100,quick-sort,22
100,merge-sort,159
100,selection-sort,58
100,quick-sort,20
100,merge-sort,118
100,selection-sort,86
100,quick-sort,18
100,merge-sort,105
100,selection-sort,58
100,quick-sort,24
100,merge-sort,154
100,selection-sort,255
100,quick-sort,46
100,merge-sort,190
100,selection-sort,269
100,quick-sort,63
100,merge-sort,87
100,selection-sort,60
100,quick-sort,17
100,merge-sort,83
100,selection-sort,50
100,quick-sort,17
100,merge-sort,105
100,selection-sort,50
100,quick-sort,17
100,merge-sort,77
100,selection-sort,55
100,quick-sort,19
100,merge-sort,87
100,selection-sort,55
100,quick-sort,17
100,merge-sort,94
100,selection-sort,55
100,quick-sort,18
100,merge-sort,91
100,selection-sort,61
100,quick-sort,19
100,merge-sort,84
100,selection-sort,63
100,quick-sort,18
100,merge-sort,86
100,selection-sort,54
100,quick-sort,16
100,merge-sort,87
100,selection-sort,58
100,quick-sort,16
100,merge-sort,91
100,selection-sort,49
100,quick-sort,21
100,merge-sort,92
100,selection-sort,59
100,quick-sort,20
100,merge-sort,78
100,selection-sort,53
100,quick-sort,17
100,merge-sort,87
100,selection-sort,59
100,quick-sort,17
100,merge-sort,86
100,selection-sort,54
100,quick-sort,19
100,merge-sort,87
100,selection-sort,54
100,quick-sort,18
100,merge-sort,107
100,selection-sort,173
100,quick-sort,19
100,merge-sort,94
100,selection-sort,49
100,quick-sort,17
100,merge-sort,83
100,selection-sort,50
100,quick-sort,17
100,merge-sort,81
100,selection-sort,51
100,quick-sort,18
100,merge-sort,81
100,selection-sort,52
100,quick-sort,17
100,merge-sort,174
100,selection-sort,55
100,quick-sort,17
100,merge-sort,86
100,selection-sort,52
100,quick-sort,17
100,merge-sort,118
100,selection-sort,54
100,quick-sort,20
100,merge-sort,88
100,selection-sort,58
100,quick-sort,19
100,merge-sort,101
100,selection-sort,43
100,quick-sort,14
100,merge-sort,59
100,selection-sort,40
100,quick-sort,13
100,merge-sort,57
100,selection-sort,40
100,quick-sort,13
100,merge-sort,58
100,selection-sort,40
100,quick-sort,13
100,merge-sort,58
100,selection-sort,40
100,quick-sort,13
100,merge-sort,58
100,selection-sort,40
100,quick-sort,13
100,merge-sort,58
100,selection-sort,40
100,quick-sort,13
100,merge-sort,57
100,selection-sort,40
100,quick-sort,13
100,merge-sort,57
100,selection-sort,40
100,quick-sort,16
100,merge-sort,90
100,selection-sort,57
100,quick-sort,19
100,merge-sort,82
100,selection-sort,55
100,quick-sort,19
100,merge-sort,9161
100,selection-sort,57
100,quick-sort,22
100,merge-sort,370
100,selection-sort,49
100,quick-sort,30
100,merge-sort,109
100,selection-sort,57
100,quick-sort,17
100,merge-sort,89
100,selection-sort,63
100,quick-sort,19
100,merge-sort,86
100,selection-sort,54
100,quick-sort,33
100,merge-sort,107
100,selection-sort,51
100,quick-sort,18
100,merge-sort,80
100,selection-sort,62
100,quick-sort,21
100,merge-sort,91
100,selection-sort,59
100,quick-sort,26
100,merge-sort,94
100,selection-sort,55
100,quick-sort,20
100,merge-sort,100
100,selection-sort,60
100,quick-sort,21
100,merge-sort,93
100,selection-sort,89
100,quick-sort,22
100,merge-sort,110
100,selection-sort,62
100,quick-sort,21
100,merge-sort,93
100,selection-sort,60
100,quick-sort,20
100,merge-sort,93
100,selection-sort,61
100,quick-sort,20
100,merge-sort,88
100,selection-sort,58
100,quick-sort,19
100,merge-sort,84
100,selection-sort,60
100,quick-sort,18
100,merge-sort,88
100,selection-sort,59
100,quick-sort,21
100,merge-sort,94
100,selection-sort,56
100,quick-sort,19
100,merge-sort,100
100,selection-sort,97
100,quick-sort,145
100,merge-sort,87
100,selection-sort,58
100,quick-sort,22
100,merge-sort,87
100,selection-sort,59
100,quick-sort,19
100,merge-sort,104
100,selection-sort,61
100,quick-sort,19
100,merge-sort,99
100,selection-sort,67
100,quick-sort,22
100,merge-sort,83
100,selection-sort,52
100,quick-sort,17
100,merge-sort,83
100,selection-sort,59
100,quick-sort,20
100,merge-sort,84
100,selection-sort,63
100,quick-sort,28
100,merge-sort,108
100,selection-sort,114
100,quick-sort,30
100,merge-sort,106
100,selection-sort,56
100,quick-sort,23
100,merge-sort,103
100,selection-sort,53
100,quick-sort,17
100,merge-sort,90
100,selection-sort,51
100,quick-sort,22
100,merge-sort,97
100,selection-sort,63
100,quick-sort,16
100,merge-sort,120
100,selection-sort,50
100,quick-sort,22
100,merge-sort,90
100,selection-sort,50
100,quick-sort,16
100,merge-sort,104
100,selection-sort,183
100,quick-sort,19
100,merge-sort,82
100,selection-sort,67
100,quick-sort,22
100,merge-sort,85
100,selection-sort,59
100,quick-sort,23
100,merge-sort,88
100,selection-sort,58
100,quick-sort,19
100,merge-sort,86
100,selection-sort,57
100,quick-sort,19
100,merge-sort,91
100,selection-sort,52
100,quick-sort,20
100,merge-sort,101
100,selection-sort,58
100,quick-sort,22
100,merge-sort,86
100,selection-sort,55
100,quick-sort,18
100,merge-sort,83
100,selection-sort,58
100,quick-sort,21
100,merge-sort,126
100,selection-sort,52
100,quick-sort,18
100,merge-sort,82
100,selection-sort,52
100,quick-sort,17
100,merge-sort,84
100,selection-sort,55
100,quick-sort,20
100,merge-sort,88
100,selection-sort,59
100,quick-sort,19
100,merge-sort,97
100,selection-sort,60
100,quick-sort,21
100,merge-sort,89
100,selection-sort,65
100,quick-sort,17
100,merge-sort,81
100,selection-sort,49
100,quick-sort,16
100,merge-sort,83
100,selection-sort,59
100,quick-sort,19
100,merge-sort,215
100,selection-sort,670
100,quick-sort,21
100,merge-sort,337
100,selection-sort,168
100,quick-sort,22
100,merge-sort,91
100,selection-sort,59
