Entrada,Algoritmo,Tiempo (microsegundos)
100,selection-sort,59
100,quick-sort,20
100,merge-sort,105
100,selection-sort,61
100,quick-sort,18
100,merge-sort,97
100,selection-sort,74
100,quick-sort,19
100,merge-sort,93
100,selection-sort,57
100,quick-sort,18
100,merge-sort,93
100,selection-sort,64
100,quick-sort,16
100,merge-sort,107
100,selection-sort,74
100,quick-sort,20
100,merge-sort,96
100,selection-sort,58
100,quick-sort,19
100,merge-sort,95
100,selection-sort,67
100,quick-sort,21
100,merge-sort,86
100,selection-sort,71
100,quick-sort,20
100,merge-sort,93
100,selection-sort,62
100,quick-sort,20
100,merge-sort,87
100,selection-sort,56
100,quick-sort,18
100,merge-sort,83
100,selection-sort,58
100,quick-sort,18
100,merge-sort,806
100,selection-sort,68
100,quick-sort,93
100,merge-sort,70
100,selection-sort,136
100,quick-sort,18
100,merge-sort,180
100,selection-sort,44
100,quick-sort,14
100,merge-sort,62
100,selection-sort,57
100,quick-sort,16
100,merge-sort,86
100,selection-sort,58
100,quick-sort,19
100,merge-sort,95
100,selection-sort,61
100,quick-sort,23
100,merge-sort,108
100,selection-sort,67
100,quick-sort,22
100,merge-sort,106
100,selection-sort,211
100,quick-sort,22
100,merge-sort,89
100,selection-sort,546
100,quick-sort,17
100,merge-sort,93
100,selection-sort,68
100,quick-sort,22
100,merge-sort,183
100,selection-sort,60
100,quick-sort,25
100,merge-sort,309
100,selection-sort,61
100,quick-sort,19
100,merge-sort,107
100,selection-sort,55
100,quick-sort,21
100,merge-sort,88
100,selection-sort,58
100,quick-sort,16
100,merge-sort,96
100,selection-sort,54
100,quick-sort,17
100,merge-sort,178
100,selection-sort,58
100,quick-sort,19
100,merge-sort,172
100,selection-sort,72
100,quick-sort,22
100,merge-sort,108
100,selection-sort,90
100,quick-sort,40
100,merge-sort,217
100,selection-sort,104
100,quick-sort,32
100,merge-sort,87
100,selection-sort,67
100,quick-sort,26
100,merge-sort,82
100,selection-sort,44
100,quick-sort,14
100,merge-sort,63
100,selection-sort,55
100,quick-sort,16
100,merge-sort,86
100,selection-sort,45
100,quick-sort,14
100,merge-sort,66
100,selection-sort,57
100,quick-sort,15
100,merge-sort,64
100,selection-sort,52
100,quick-sort,17
100,merge-sort,86
100,selection-sort,47
100,quick-sort,14
100,merge-sort,62
100,selection-sort,43
100,quick-sort,14
100,merge-sort,62
100,selection-sort,44
100,quick-sort,14
100,merge-sort,62
100,selection-sort,44
100,quick-sort,14
100,merge-sort,70
100,selection-sort,57
100,quick-sort,17
100,merge-sort,95
100,selection-sort,58
100,quick-sort,20
100,merge-sort,98
100,selection-sort,71
100,quick-sort,17
100,merge-sort,100
100,selection-sort,59
100,quick-sort,22
100,merge-sort,106
100,selection-sort,56
100,quick-sort,21
100,merge-sort,76
100,selection-sort,99
100,quick-sort,16
100,merge-sort,87
100,selection-sort,58
100,quick-sort,17
100,merge-sort,91
100,selection-sort,56
100,quick-sort,18
100,merge-sort,78
100,selection-sort,44
100,quick-sort,14
100,merge-sort,62
100,selection-sort,43
100,quick-sort,13
100,merge-sort,62
100,selection-sort,44
100,quick-sort,13
100,merge-sort,62
100,selection-sort,44
100,quick-sort,13
100,merge-sort,62
100,selection-sort,57
100,quick-sort,13
100,merge-sort,63
100,selection-sort,62
100,quick-sort,18
100,merge-sort,67
100,selection-sort,44
100,quick-sort,13
100,merge-sort,65
100,selection-sort,60
100,quick-sort,24
