Entrada,Algoritmo,Tiempo (microsegundos)
100,selection-sort,52
100,quick-sort,15
100,merge-sort,68
100,selection-sort,48
100,quick-sort,22
100,merge-sort,79
100,selection-sort,45
100,quick-sort,20
100,merge-sort,76
100,selection-sort,37
100,quick-sort,12
100,merge-sort,58
100,selection-sort,37
100,quick-sort,12
100,merge-sort,58
100,selection-sort,37
100,quick-sort,11
100,merge-sort,58
100,selection-sort,37
100,quick-sort,11
100,merge-sort,58
100,selection-sort,37
100,quick-sort,11
100,merge-sort,58
100,selection-sort,37
100,quick-sort,11
100,merge-sort,58
100,selection-sort,37
100,quick-sort,11
100,merge-sort,84
100,selection-sort,37
100,quick-sort,11
100,merge-sort,58
100,selection-sort,44
100,quick-sort,14
100,merge-sort,61
100,selection-sort,37
100,quick-sort,11
100,merge-sort,74
100,selection-sort,51
100,quick-sort,15
100,merge-sort,101
100,selection-sort,49
100,quick-sort,19
100,merge-sort,85
100,selection-sort,48
100,quick-sort,18
100,merge-sort,95
100,selection-sort,37
100,quick-sort,11
100,merge-sort,69
100,selection-sort,50
100,quick-sort,15
100,merge-sort,79
100,selection-sort,47
100,quick-sort,14
100,merge-sort,78
100,selection-sort,45
100,quick-sort,14
100,merge-sort,82
100,selection-sort,45
100,quick-sort,15
100,merge-sort,79
100,selection-sort,52
100,quick-sort,12
100,merge-sort,58
100,selection-sort,37
100,quick-sort,11
100,merge-sort,58
100,selection-sort,37
100,quick-sort,11
100,merge-sort,58
100,selection-sort,37
100,quick-sort,11
100,merge-sort,58
100,selection-sort,37
100,quick-sort,11
100,merge-sort,81
100,selection-sort,37
100,quick-sort,11
100,merge-sort,58
100,selection-sort,37
100,quick-sort,11
100,merge-sort,70
100,selection-sort,37
100,quick-sort,11
100,merge-sort,58
100,selection-sort,37
100,quick-sort,11
100,merge-sort,58
100,selection-sort,37
100,quick-sort,11
100,merge-sort,58
100,selection-sort,37
100,quick-sort,11
100,merge-sort,58
100,selection-sort,37
100,quick-sort,11
100,merge-sort,68
100,selection-sort,49
100,quick-sort,16
100,merge-sort,88
100,selection-sort,57
100,quick-sort,17
100,merge-sort,94
100,selection-sort,51
100,quick-sort,14
100,merge-sort,83
100,selection-sort,37
100,quick-sort,11
100,merge-sort,58
100,selection-sort,43
